Web Search interest: travelex transferwise
Worldwide 2004 - present

Interest over time
Week,travelex,transferwise
2004-01-04 - 2004-01-10,48,0
2004-01-11 - 2004-01-17,36,0
2004-01-18 - 2004-01-24,40,0
2004-01-25 - 2004-01-31,32,0
2004-02-01 - 2004-02-07,41,0
2004-02-08 - 2004-02-14,28,0
2004-02-15 - 2004-02-21,49,0
2004-02-22 - 2004-02-28,27,0
2004-02-29 - 2004-03-06,46,0
2004-03-07 - 2004-03-13,41,0
2004-03-14 - 2004-03-20,39,0
2004-03-21 - 2004-03-27,45,0
2004-03-28 - 2004-04-03,39,0
2004-04-04 - 2004-04-10,35,0
2004-04-11 - 2004-04-17,29,0
2004-04-18 - 2004-04-24,22,0
2004-04-25 - 2004-05-01,19,0
2004-05-02 - 2004-05-08,38,0
2004-05-09 - 2004-05-15,31,0
2004-05-16 - 2004-05-22,22,0
2004-05-23 - 2004-05-29,59,0
2004-05-30 - 2004-06-05,32,0
2004-06-06 - 2004-06-12,63,0
2004-06-13 - 2004-06-19,53,0
2004-06-20 - 2004-06-26,25,0
2004-06-27 - 2004-07-03,36,0
2004-07-04 - 2004-07-10,58,0
2004-07-11 - 2004-07-17,53,0
2004-07-18 - 2004-07-24,61,0
2004-07-25 - 2004-07-31,54,0
2004-08-01 - 2004-08-07,29,0
2004-08-08 - 2004-08-14,64,0
2004-08-15 - 2004-08-21,28,0
2004-08-22 - 2004-08-28,54,0
2004-08-29 - 2004-09-04,35,0
2004-09-05 - 2004-09-11,37,0
2004-09-12 - 2004-09-18,38,0
2004-09-19 - 2004-09-25,65,0
2004-09-26 - 2004-10-02,43,0
2004-10-03 - 2004-10-09,30,0
2004-10-10 - 2004-10-16,32,0
2004-10-17 - 2004-10-23,39,0
2004-10-24 - 2004-10-30,28,0
2004-10-31 - 2004-11-06,31,0
2004-11-07 - 2004-11-13,15,0
2004-11-14 - 2004-11-20,41,0
2004-11-21 - 2004-11-27,26,0
2004-11-28 - 2004-12-04,42,0
2004-12-05 - 2004-12-11,34,0
2004-12-12 - 2004-12-18,48,0
2004-12-19 - 2004-12-25,47,0
2004-12-26 - 2005-01-01,31,0
2005-01-02 - 2005-01-08,39,0
2005-01-09 - 2005-01-15,55,0
2005-01-16 - 2005-01-22,55,0
2005-01-23 - 2005-01-29,22,0
2005-01-30 - 2005-02-05,38,0
2005-02-06 - 2005-02-12,44,0
2005-02-13 - 2005-02-19,35,0
2005-02-20 - 2005-02-26,77,0
2005-02-27 - 2005-03-05,39,0
2005-03-06 - 2005-03-12,48,0
2005-03-13 - 2005-03-19,38,0
2005-03-20 - 2005-03-26,37,0
2005-03-27 - 2005-04-02,39,0
2005-04-03 - 2005-04-09,38,0
2005-04-10 - 2005-04-16,61,0
2005-04-17 - 2005-04-23,46,0
2005-04-24 - 2005-04-30,53,0
2005-05-01 - 2005-05-07,47,0
2005-05-08 - 2005-05-14,58,0
2005-05-15 - 2005-05-21,70,0
2005-05-22 - 2005-05-28,51,0
2005-05-29 - 2005-06-04,44,0
2005-06-05 - 2005-06-11,61,0
2005-06-12 - 2005-06-18,77,0
2005-06-19 - 2005-06-25,69,0
2005-06-26 - 2005-07-02,76,0
2005-07-03 - 2005-07-09,91,0
2005-07-10 - 2005-07-16,99,0
2005-07-17 - 2005-07-23,92,0
2005-07-24 - 2005-07-30,60,0
2005-07-31 - 2005-08-06,72,0
2005-08-07 - 2005-08-13,71,0
2005-08-14 - 2005-08-20,73,0
2005-08-21 - 2005-08-27,81,0
2005-08-28 - 2005-09-03,89,0
2005-09-04 - 2005-09-10,77,0
2005-09-11 - 2005-09-17,53,0
2005-09-18 - 2005-09-24,60,0
2005-09-25 - 2005-10-01,59,0
2005-10-02 - 2005-10-08,47,0
2005-10-09 - 2005-10-15,67,0
2005-10-16 - 2005-10-22,40,0
2005-10-23 - 2005-10-29,51,0
2005-10-30 - 2005-11-05,36,0
2005-11-06 - 2005-11-12,50,0
2005-11-13 - 2005-11-19,70,0
2005-11-20 - 2005-11-26,38,0
2005-11-27 - 2005-12-03,42,0
2005-12-04 - 2005-12-10,37,0
2005-12-11 - 2005-12-17,56,0
2005-12-18 - 2005-12-24,66,0
2005-12-25 - 2005-12-31,32,0
2006-01-01 - 2006-01-07,48,0
2006-01-08 - 2006-01-14,50,0
2006-01-15 - 2006-01-21,48,0
2006-01-22 - 2006-01-28,41,0
2006-01-29 - 2006-02-04,47,0
2006-02-05 - 2006-02-11,66,0
2006-02-12 - 2006-02-18,38,0
2006-02-19 - 2006-02-25,55,0
2006-02-26 - 2006-03-04,52,0
2006-03-05 - 2006-03-11,43,0
2006-03-12 - 2006-03-18,53,0
2006-03-19 - 2006-03-25,66,0
2006-03-26 - 2006-04-01,54,0
2006-04-02 - 2006-04-08,45,0
2006-04-09 - 2006-04-15,56,0
2006-04-16 - 2006-04-22,78,0
